"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P1769000";"P1754000";"Kirche und Frömmigkeit";"lkl=pvg 570";"Church and Piety"
"P1770000";"P1754000";"Regionalgeschichte";"lkl=pvg 600";"Regional Studies"
"P1771000";"P1754000";"Stadt- und Ortsgeschichte";"lkl=pvg 700";"Local History"
"P1772000";"P1754000";"Personen";"lkl=pvg 800";"Biographies"
"P1773000";"P0001000";"Geschichte der USA";"(lkl=pvk? or lkl=pvl? or lkl=pvm? or lkl=pvn? or lkl=pvo? or lkl=pvp?) or (ddc=973? or ddc=974? or ddc=975? or ddc=976? or ddc=977? or ddc=978? or ddc=979?)";"History of the USA"
"P1774000";"P1773000";"Nachschlagewerke und Handbücher in Auswahl";"lkl=pvk 000 and ((thm=handbo? or thm=compan? or thm=oxford or thm=diction? or thm=encycloped?) or tit=geschichte)";"Selected Reference Works and Handbooks"
"P1775000";"P1773000";"Weitere Gesamtdarstellungen";"lkl=pvk 000 not ((thm=handbo? or thm=compan? or thm=oxford or thm=diction? or thm=encycloped?) or tit=geschichte)";"Further Reference Works"
"P1776000";"P1773000";"Quellen";"lkl=pvk 1? or ((lkl=pvk? and (thm=sourc? or thm=quell?)) or (ddc=971?  and thm=sourc?))";"Primary Sources "
"P1777000";"P1773000";"Quellen: übergreifende Sammlungen";"lkl=pvk 100";"Primary Sources: comprehensive collections"
"P1778000";"P1773000";"Politische Geschichte";"lkl=pvk 200 or ddc=973";"Political History"
"P1779000";"P1778000";"Außenpolitik";"lkl=pvk 220";"Foreign Policy"
"P1780000";"P1778000";"Innenpolitik";"lkl=pvk 240";"Domestic Policy"
"P1781000";"P1778000";"Todesstrafe";"lkl=pv? and (thm=capital punishment or thm=todesstrafe?)";"Capital Punishment"
"P1782000";"P1778000";"Militärgeschichte";"lkl=pvk 250";"Military History"
"P1783000";"P1778000";"Parteien";"lkl=pvk 270";"Political Parties"
"P1784000";"P1778000";"Indianer - Nachschlagewerke";"lkl=pvk 260 and (thm=lexiko? or thm=encycloped? or thm=diction? or thm=companion?)";"Native Americans- Factual Reference Works, Handbooks etc "
"P1785000";"P1778000";"Indianer";"lkl=pvk 260";"Native Americans"
"P1786000";"P1773000";"Gesellschaft";"lkl=pvk 300";"Society"
"P1787000";"P1786000";"Arbeiter";"lkl=pvk 3? and (thm=worker? or thm=labor? or thm=arbeit?)";"Working class"
"P1788000";"P1786000";"Rassendiskriminierung - Nachschlagewerke";"(ddc=305.896073 or lkl=pvk 360) and (thm=handb? or thm=diction? or thm=encycloped? or thm=nachschlagewerk?)";"Racial Discrimination- Factual Reference Works, Handbooks"
"P1789000";"P1786000";"Rassendiskriminierung";"lkl=pvk 360 or ddc=305.896073";"Racial Discrimination"
"P1790000";"P1786000";"Immigration und Minderheiten";"lkl=pvk 370";"Immigration and Minorities"
"P1791000";"P1786000";"Deutschamerikaner";"lkl=pvk 370 and (thm=german? or thm=deutsch?)";"German-Americans"
"P1792000";"P1786000";"Iren";"lkl=pvk 370 and (thm=irish? or thm=ireland?)";"Irish"
"P1793000";"P1786000";"Asian Americans";"lkl=pvk 370 and (thm=chin? or thm=asian? or thm=japan?)";"Asian Americans"
"P1794000";"P1786000";"Hispanic Americans";"lkl=pvk 370 and (thm=latin? or thm=span? or thm=hispan?)";"Hispanic Americans"
"P1795000";"P1786000";"Frauen";"lkl=pvk 380 or ddc=973.03";"Women"
"P1796000";"P1773000";"Wirtschaft";"lkl=pvk 400";"Economy"
"P1797000";"P1796000";"Umwelt";"lkl=pvk? and thm=(environment? or umwelt?)";"Environment"
"P1798000";"P1773000";"Kultur";"lkl=pvk 500";"Culture"
"P1799000";"P1798000";"Alltagskultur";"lkl=pvk 500 and (thm=alltag? or thm=daily? or thm=material?)";"Everyday Culture"
"P1800000";"P1798000";"Medien und Kommunikation";"lkl=pvk 500 and (thm=media? or thm=communica? or thm=kommunik?)";"Media and Communication"
"P1801000";"P1798000";"Kirche und Frömmigkeit";"lkl=pvk 570";"Church and Piety"
"P1802000";"P1798000";"Katholiken";"lkl=pvk 570 and (thm=catholic? or thm=kathol?)";"Catholics"
"P1803000";"P1798000";"Protestanten";"lkl=pvk 570 and (thm=protest? or thm=luther? or thm=evangel?)";"Protestants"
"P1804000";"P1798000";"Fundamentalistische Bewegungen";"lkl=pvk 570 and (thm=pentecost? or thm=pfingst? or thm=fundament?)";"Fundamentalist Movements"
"P1805000";"P1773000";"Regionalgeschichte";"(lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=PVN 600 or lkl=pvo 600 or lkl=pvp 600) or (ddc=974? or ddc=975? or ddc=976? or ddc=977? or ddc=978? or ddc=979?)";"Regional Studies"
"P1806000";"P1805000";"Nordoststaaten";"ddc=974?";"North-Eastern states"
"P1807000";"P1806000";"Maine";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=maine) or ddc=974.1?";"Maine"
"P1808000";"P1806000";"New Hampshire";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600)and thm=hampshire) or ddc=974.2?";"New Hampshire"
"P1809000";"P1806000";"Vermont";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600)and thm=vermont) or ddc=974.3?";"Vermont"
"P1810000";"P1806000";"Massachusetts";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600)and thm=massachusetts) or ddc=974.4?";"Massachusetts"
"P1811000";"P1806000";"Rhode Island";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=rhode?) or ddc=974.5?";"Rhode Island"
"P1812000";"P1806000";"Connecticut";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=connecticut) or ddc=974.6?";"Connecticut"
"P1813000";"P1806000";"New York";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=new york) or ddc=974.7?";"New York"
"P1814000";"P1806000";"Pennsylvania";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=pennsylvania) or ddc=974.8?";"Pennsylvania"
"P1815000";"P1806000";"New Jersey";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=new jersey) or ddc=974.9?";"New Jersey"
"P1816000";"P1805000";"Südoststaaten";"ddc=975?";"South-Eastern states"
"P1817000";"P1816000";"Delaware";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=delaWare ) or ddc=975.1?";"Delaware"
"P1818000";"P1816000";"Maryland";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=maryland) or ddc=975.2?";"Maryland"
"P1819000";"P1816000";"District of Columbia (Washington)";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600)and thm=washington) or ddc=975.3?";"District of Columbia (Washington)"
"P1820000";"P1816000";"West Virginia";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=west virginia) or ddc=975.4?";"West Virginia"
"P1821000";"P1816000";"Virginia";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=virginia) or ddc=975.5?";"Virginia"
"P1822000";"P1816000";"North Carolina";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=north carolina) or ddc=975.6?";"North Carolina"
"P1823000";"P1816000";"South Carolina";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=south carolina) or ddc=975.7?";"South Carolina"
"P1824000";"P1816000";"Georgia";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=georgia) or ddc=975.8?";"Georgia"
"P1825000";"P1816000";"Florida";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=florida) or ddc=975.9?";"Florida"
"P1826000";"P1805000";"Südstaaten";"ddc=976?";"Southern states"
"P1827000";"P1826000";"Alabama";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=alabama) or ddc=976.1?";"Alabama"
"P1828000";"P1826000";"Mississippi";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=mississippi) or ddc=976.2?";"Mississippi"
"P1829000";"P1826000";"Louisiana";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=louisiana) or ddc=976.3?";"Louisiana"
"P1830000";"P1826000";"Texas";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=texas) or ddc=976.4?";"Texas"
"P1831000";"P1826000";"Oklahoma";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=oklahoma) or ddc=976.6?";"Oklahoma"
"P1832000";"P1826000";"Arkansas";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=arkansas) or ddc=976.7?";"Arkansas"
"P1833000";"P1826000";"Tennessee";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=tennessee) or ddc=976.8?";"Tennessee"
"P1834000";"P1826000";"Kentucky";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=kentucky) or ddc=976.9?";"Kentucky"
"P1835000";"P1805000";"Nordstaaten";"ddc=977?";"Northern states"
"P1836000";"P1835000";"Ohio";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=ohio) or ddc=977.1?";"Ohio"
"P1837000";"P1835000";"Indiana";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=indiana) or ddc=977.2?";"Indiana"
"P1838000";"P1835000";"Illinois";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=illinois) or ddc=977.3?";"Illinois"
"P1839000";"P1835000";"Michigan";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=michigan) or ddc=977.4?";"Michigan"
"P1840000";"P1835000";"Wisconsin";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=wisconsin) or ddc=977.5?";"Wisconsin"
"P1841000";"P1835000";"Minnesota";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=minnesota) or ddc=977.6?";"Minnesota"
"P1842000";"P1835000";"Iowa";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=iowa) or ddc=977.7?";"Iowa"
"P1843000";"P1835000";"Missouri";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=missouri) or ddc=977.8?";"Missouri"
"P1844000";"P1805000";"Weststaaten";"ddc=978?";"Western states"
"P1845000";"P1844000";"Kansas";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=kansas) or ddc=978.1?";"Kansas"
"P1846000";"P1844000";"Nebraska";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=nebraska) or ddc=978.2?";"Nebraska"
"P1847000";"P1844000";"South Dakota";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=south dakota) or ddc=978.3?";"South Dakota"
"P1848000";"P1844000";"North Dakota";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=north dakota) or ddc=978.4?";"North Dakota"
"P1849000";"P1844000";"Montana";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=north montana) or ddc=978.6?";"Montana"
"P1850000";"P1844000";"Wyoming";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=north wyoming) or ddc=978.7?";"Wyoming"
"P1851000";"P1844000";"Colorado";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=colorado) or ddc=978.8?";"Colorado"
"P1852000";"P1844000";"New Mexico";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=new mexico) or ddc=978.9?";"New Mexico"
"P1853000";"P1805000";"Südweststaaten";"ddc=979?";"South Western states"
"P1854000";"P1853000";"Arizona";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=arizona) or ddc=979.1?";"Arizona"
"P1855000";"P1853000";"Utah";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=utah) or ddc=979.2?";"Utah"
"P1856000";"P1853000";"Nevada";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=nevada) or ddc=979.3?";"Nevada"
"P1857000";"P1853000";"Kalifornien";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=california ) or ddc=979.4?";"California"
"P1858000";"P1853000";"Oregon";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=oregon) or ddc=979.5?";"Oregon"
"P1859000";"P1853000";"Idaho";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=idaho) or ddc=979.6?";"Idaho"
"P1860000";"P1853000";"Washington";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=washington) or ddc=979.7?";"Washington"
"P1861000";"P1853000";"Alaska";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=alaska) or ddc=979.8?";"Alaska"
"P1862000";"P1853000";"Puerto Rico";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=puerto?) or ddc=972.95?";"Puerto Rico"
"P1863000";"P1853000";"Hawaii und Guam";"((lkl=pvk 600 or lkl=pvl 600 or lkl=pvm 600 or lkl=pvn 600 or lkl=pvo 600 or lkl=pvp 600) and thm=hawaii) or ddc=996.9?";"Hawaii and Guam"
"P1864000";"P1773000";"Stadt- und Ortsgeschichte";"lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700";"Local History"
"P1865000";"P1864000";"Boston";"((lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700) and thm=boston) or ddc=974.461?";"Boston"
"P1866000";"P1864000";"New York";"((lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700) and thm=new york) or ddc=974.47?";"New York"
"P1867000";"P1864000";"Philadelphia";"((lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700) and thm=philadelphia) or ddc=974.811?";"Philadelphia"
"P1868000";"P1864000";"Chicago";"((lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700) and thm=chicago) or ddc=977.311?";"Chicago"
"P1869000";"P1864000";"Los Angeles";"((lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700) and thm=los angeles) or ddc=979.494?";"Los Angeles"
"P1870000";"P1864000";"San Francisco";"((lkl=pvk 700 or lkl=pvl 700 or lkl=pvm 700 or lkl=pvn 700 or lkl=pvo 700 or lkl=pvp 700) and thm=san francisco) or ddc=979.461?";"San Francisco"
"P1871000";"P1773000";"Biographische Sammelwerke";"lkl=pvk 800";"Biographical Reference Works"
"P1872000";"P1773000";"Sonstiges; Einzelbeiträge";"lkl=pvk 900";"Miscellaneous"
"P1873000";"P1773000";"Geschichte der USA in der Kolonialzeit (bis 1776)  ";"lkl=pvl?";"The USA in the Colonial Period (Until 1776)  "
"P1873500";"P1873000";"Nachschlagewerke, Handbücher ";"lkl=pvl 000";"Factual Reference Works, Handbooks "
"P1874000";"P1873000";"Quellen";"lkl=pvl 1? or ((ddc=973.1? or ddc=973.2?) and thm=source?)";"Primary Sources "
"P1875000";"P1873000";"Quellen: übergreifende Sammlungen";"lkl=pvl 100";"Primary Sources: comprehensive collections"
"P1876000";"P1873000";"Quellen: Briefe und Tagebücher";"lkl=pvl 800 and (thm=letter? or thm=correspond? or thm=brief? or thm=diar? or thm=tageb? or thm=journal?)";"Primary Sources : Letters and Journals"
"P1877000";"P1873000";"Politische Geschichte";"lkl=pvl 200";"Political History"
"P1878000";"P1873000";"1607-1689";"lkl=pvl 220 or (ddc=973.1? or ddc=973.21? or ddc=973.22? or ddc=973.23? or ddc=973.24?)";"1607-1689"
"P1879000";"P1873000";"1689-1776";"lkl=pvl 240 or (ddc=973.25? or ddc=973.26? or ddc=973.27?)";"1689-1776"
"P1880000";"P1873000";"Indianer";"lkl=pvl 260";"Native Americans"
"P1881000";"P1873000";"Gesellschaft";"lkl=pvl 300";"Society"
"P1882000";"P1881000";"Sklaven";"lkl=pvl 360";"Slaves"
"P1883000";"P1881000";"Immigration und Minderheiten";"lkl=pvl 370";"Immigration and Minorities"
"P1884000";"P1881000";"Frauen";"lkl=pvl 380";"Women"
"P1885000";"P1873000";"Wirtschaft";"lkl=pvl 400";"Economy"
"P1886000";"P1873000";"Kultur";"lkl=pvl 500";"Culture"
"P1887000";"P1886000";"Kirche und Frömmigkeit";"lkl=pvl 570";"Church and Piety"
"P1888000";"P1873000";"Regionalgeschichte";"lkl=pvl 600 or (ddc=974.01? or ddc=974.02? or ddc=975.01? or ddc=975.02? or ddc=976.01? or ddc=976.02? or ddc=977.01? or ddc=978.01? or ddc=979.01?)";"Regional Studies"
"P1889000";"P1888000";"Nordoststaaten";"ddc=974?";"North-Eastern states"
"P1890000";"P1889000";"Maine, New Hampshire und Vermont";"(lkl=pvl 600 and (thm=maine or thm=hamsphire or thm=vermont)) or (ddc=974.101? or ddc=974.102? or ddc=974.201? or ddc=974.202? or ddc=974.301? or ddc=974.302?)";"Maine, New Hampshire and Vermont"
"P1891000";"P1889000";"Massachusetts";"(lkl=pvl 600 and thm=massachusetts) or (ddc=974.401? or ddc=974.402?)";"Massachusetts"
"P1892000";"P1889000";"Rhode Island, Connecticut";"(lkl=pvl 600 and (thm=rhode or thm=connecticut)) or (ddc=974.501? or ddc=974.502?)";"Rhode Island, Connecticut"
"P1893000";"P1889000";"New York";"(lkl=pvl 600 and thm=new york) or (ddc=974.701? or ddc=974.702?)";"New York"
"P1894000";"P1889000";"Pennsylvania, New Jersey";"(lkl=pvl 600 and (thm=pennsylvania or thm=new jersey)) or (ddc=974.801? or ddc=974.802? or ddc=974.901? or ddc=974.902?)";"Pennsylvania, New Jersey"
"P1895000";"P1888000";"Südoststaaten";"lkl=pvl 600 and (thm=delaware or thm=maryland or thm=washington or thm=virginia or thm=carolina or thm=georgia or thm=florida)";"South-Eastern states"
"P1896000";"P1888000";"Südstaaten";"lkl=pvl 600 and (thm=alabama or thm=mississippi or thm=louisiana or thm=texas or thm=oklahoma or thm=arkansas or thm=tennessee or thm=kentucky)";"Southern states"
"P1897000";"P1888000";"Nordstaaten";"lkl=pvl 600 and (thm=ohio or thm=indiana or thm=illinois or thm=michigan or thm=wisconsin or thm=minnesota or thm=iowa or thm=missouri)";"Northern states"
"P1898000";"P1888000";"Weststaaten";"lkl=pvl 600 and (thm=kansas or thm=nebraska or thm=dakota or thm=montana or thm=wyoming or thm=colorado or thm=mexico)";"Western states"
"P1899000";"P1888000";"Südweststaaten";"(lkl=pvl 600 and (thm=arizona or thm=utah or thm=nevada or thm=california or thm=oregon or thm=idaho or thm=washington or thm=alaska)) or ddc=979.!01?";"South-Western states"
"P1900000";"P1873000";"Stadt- und Ortsgeschichte";"lkl=pvl 700";"Local History"
"P1901000";"P1873000";"Personen";"lkl=pvl 800";"Biographies"
"P1902000";"P1901000";"Franklin, Benjamin";"(lkl=pvl 800 or lkl=pvm 800) and thm=benjamin franklin";"Franklin, Benjamin"
"P1903000";"P1901000";"Washington, George";"(lkl=pvl 800 or lkl=pvm 800) and thm=george washington";"Washington, George"
"P1904000";"P1873000";"Sonstiges; Einzelbeiträge";"lkl=pvl 900";"Miscellaneous"
"P1905000";"P1773000";"Geschichte der USA 1776-1918  ";"lkl=pvm?";"The USA 1776-1918  "
"P1905500";"P1905000";"Nachschlagewerke, Handbücher ";"lkl=pvm 000";"Factual Reference Works, Handbooks "
"P1906000";"P1905000";"Quellen";"lkl=pvm 1? or ((ddc=973.3? or ddc=973.4? or ddc=973.5? or ddc=973.6? or ddc=973.8? or ddc=973.911? or ddc=973.912?) and thm=source?)";"Primary Sources "
"P1907000";"P1905000";"Quellen: übergreifende Sammlungen";"lkl=pvm 100";"Primary Sources: comprehensive collections"
"P1908000";"P1905000";"Quellen: Briefe";"(lkl=pvm 1? or (ddc=973.3? or ddc=973.4? or ddc=973.5? or ddc=973.6? or ddc=973.8? or ddc=973.911? or ddc=973.912?)) and (thm=letter? or thm=correspond? or thm=brief?)";"Primary Sources: Letters"
"P1909000";"P1905000";"Quellen: Tagebücher";"(lkl=pvm 1? or (ddc=973.3? or ddc=973.4? or ddc=973.5? or ddc=973.6? or ddc=973.8? or ddc=973.911? or ddc=973.912?)) and (thm=diar? or thm=tageb? or thm=journal?)";"Primary Sources: Journals"
"P1910000";"P1905000";"Politische Geschichte";"lkl=pvm 200";"Political History"
"P1911000";"P1910000";"1776-1789";"lkl=pvm 21? or ddc=973.3?";"1776-1789"
"P1912000";"P1910000";"Amerikanische Revolution";"(lkl=pvm 21? or ddc=973.3?) and (thm=american? revolution or thm=amerikanische revolution)";"American Revolution"
"P1913000";"P1910000";"1789-1809";"lkl=pvm 220 or ddc=973.4?";"1789-1809"
"P1914000";"P1910000";"1809-1845";"lkl=pvm 230 or ddc=973.5?";"1809-1845"
"P1915000";"P1910000";"1845-1865";"(lkl=pvm 240 or (ddc=973.6? or ddc=973.7?)) not (thm=civil war or thm=sezessionskrieg)";"1845-1865"
"P1916000";"P1910000";"Sezessionskrieg: übergreifende Darstellungen";"lkl=pvm 244 or (lkl=pvm 245 and (thm=encyloped? or thm=diction? or thm=handbook?))";"American Civil War: Comprehensive Histories"
"P1917000";"P1910000";"Sezessionskrieg";"(lkl=pvm 245 or ddc=973.7?) not ((thm=lincoln or thm=biograph? or thm=person?) or ddc=973.71?)";"American Civil War"
"P1918000";"P1910000";"Sezessionskrieg: Quellen";"(lkl=pvm 245 or ddc=973.7?) and (thm=source? or thm=quelle?)";"American Civil War: Primary Sources "
"P1919000";"P1910000";"Sezessionskrieg: Tagebücher, autobiographische Zeugnisse";"(lkl=pvm 245 or ddc=973.7?) and (thm=diar? or thm=journal? or thm=tageb? or thm=autobiogr? or thm=memoir?)";"American Civil War: Journals, autobiographical Primary Sources "
"P1920000";"P1910000";"Sezessionskrieg: Briefe";"(lkl=pvm 245 or ddc=973.7?) and (thm=letter? or thm=correspond? or thm=brief?)";"American Civil War: Letters"
"P1921000";"P1910000";"Sezessionskrieg: Personen";"(lkl=pvm 245 or ddc=973.7?) and (thm=biograph? or thm=person?)";"American Civil War: Biographies"
"P1922000";"P1910000";"1865-1918";"lkl=pvm 248 or (ddc=973.8? or ddc=973.911? or ddc=973.912?)";"1865-1918"
"P1923000";"P1910000";"1865-1918: Außen- und Kolonialpolitik";"(lkl=pvm 248 or (ddc=973.8? or ddc=973.911? or ddc=973.912?)) and (thm=foreign polic? or thm=außenpolit? or thm=imperialis? or thm=diploma?)";"1865-1918: Foreign and Colonial Policy"
"P1924000";"P1910000";"Spanisch-amerikanischer Krieg";"(lkl=pvm 248 or (ddc=973.8? or ddc=973.911? or ddc=973.912?)) and (thm=spanish-american? or thm=spanisch-amerik?)";"Spanish-American War"
"P1925000";"P1910000";"1865-1918: Reconstruction";"(lkl=pvm 248 or (ddc=973.8? or ddc=973.911? or ddc=973.912?)) and thm=reconstruction";"1865-1918: Reconstruction"
"P1926000";"P1910000";"Militärgeschichte";"lkl=pvm 250";"Military History"
"P1927000";"P1910000";"Parteien";"lkl=pvm 2? and (thm=political parties? or thm=partei?)";"Political Parties"
"P1928000";"P1905000";"Indianer";"lkl=pvm 260";"Native Americans"
"P1929000";"P1905000";"Gesellschaft";"lkl=pvm 300";"Society"
"P1930000";"P1929000";"Sklaven";"lkl=pvm 360";"Slaves"
"P1931000";"P1929000";"Sklaven: Quellen";"lkl=pvm 360 and (thm=source? or thm=document? or thm=quell?)";"Slaves: Primary Sources "
"P1932000";"P1929000";"Abolitionismus";"lkl=pvm 360 and thm=abolition?";"Abolitionism"
"P1933000";"P1929000";"Immigration und Minderheiten";"lkl=pvm 370";"Immigration and Minorities"
"P1934000";"P1929000";"Deutschamerikaner";"lkl=pvm 370 and (thm=german? or thm=deutsch?)";"German-Americans"
"P1935000";"P1929000";"Iren";"lkl=pvm 370 and (thm=irish? or thm=ireland?)";"Irish"
"P1936000";"P1929000";"Asian Americans";"lkl=pvm 370 and (thm=chin? or thm=asian? or thm=japan?)";"Asian Americans"
