MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
20G05;20GXX;Representation theory;msc=20G05
20G10;20GXX;Cohomology theory;msc=20G10
20G15;20GXX;Linear algebraic groups over arbitrary fields;msc=20G15
20G20;20GXX;Linear algebraic groups over the reals, the complexes, the quaternions;msc=20G20
20G25;20GXX;Linear algebraic groups over local fields and their integers;msc=20G25
20G30;20GXX;Linear algebraic groups over global fields and their integers;msc=20G30
20G35;20GXX;Linear algebraic groups over adèles and other rings and schemes;msc=20G35
20G40;20GXX;Linear algebraic groups over finite fields;msc=20G40
20G42;20GXX;Quantum groups (quantized function algebras) and their representations;msc=20G42
20G45;20GXX;Applications to physics;msc=20G45
20G99;20GXX;None of the above, but in this section;msc=20G99
20HXX;20-XX;Other groups of matrices;msc=20H?
20H05;20HXX;Unimodular groups, congruence subgroups;msc=20H05
20H10;20HXX;Fuchsian groups and their generalizations;msc=20H10
20H15;20HXX;Other geometric groups, including crystallographic groups;msc=20H15
20H20;20HXX;Other matrix groups over fields;msc=20H20
20H25;20HXX;Other matrix groups over rings;msc=20H25
20H30;20HXX;Other matrix groups over finite fields;msc=20H30
20H99;20HXX;None of the above, but in this section;msc=20H99
20JXX;20-XX;Connections with homological algebra and category theory;msc=20J?
20J05;20JXX;Homological methods in group theory;msc=20J05
20J06;20JXX;Cohomology of groups;msc=20J06
20J15;20JXX;Category of groups;msc=20J15
20J99;20JXX;None of the above, but in this section;msc=20J99
20KXX;20-XX;Abelian groups;msc=20K?
20K01;20KXX;Finite abelian groups;msc=20K01
20K10;20KXX;Torsion groups, primary groups and generalized primary groups;msc=20K10
20K15;20KXX;Torsion-free groups, finite rank;msc=20K15
20K20;20KXX;Torsion-free groups, infinite rank;msc=20K20
20K21;20KXX;Mixed groups;msc=20K21
20K25;20KXX;Direct sums, direct products, etc.;msc=20K25
20K27;20KXX;Subgroups;msc=20K27
20K30;20KXX;Automorphisms, homomorphisms, endomorphisms, etc.;msc=20K30
20K35;20KXX;Extensions;msc=20K35
20K40;20KXX;Homological and categorical methods;msc=20K40
20K45;20KXX;Topological methods;msc=20K45
20K99;20KXX;None of the above, but in this section;msc=20K99
20L05;20-XX;Groupoids (i.e. small categories in which all morphisms are isomorphisms);msc=20L05
20MXX;20-XX;Semigroups;msc=20M?
20M05;20MXX;Free semigroups, generators and relations, word problems;msc=20M05
20M07;20MXX;Varieties of semigroups;msc=20M07
20M10;20MXX;General structure theory;msc=20M10
20M11;20MXX;Radical theory;msc=20M11
20M12;20MXX;Ideal theory;msc=20M12
20M14;20MXX;Commutative semigroups;msc=20M14
20M15;20MXX;Mappings of semigroups;msc=20M15
20M17;20MXX;Regular semigroups;msc=20M17
20M18;20MXX;Inverse semigroups;msc=20M18
20M19;20MXX;Orthodox semigroups;msc=20M19
20M20;20MXX;Semigroups of transformations, etc.;msc=20M20
20M25;20MXX;Semigroup rings, multiplicative semigroups of rings;msc=20M25
20M30;20MXX;"Representation of semigroups; actions of semigroups on sets";msc=20M30
20M35;20MXX;Semigroups in automata theory, linguistics, etc.;msc=20M35
20M50;20MXX;Connections of semigroups with homological algebra and category theory;msc=20M50
20M99;20MXX;None of the above, but in this section;msc=20M99
20NXX;20-XX;Other generalizations of groups;msc=20N?
20N02;20NXX;Sets with a single binary operation (groupoids);msc=20N02
20N05;20NXX;Loops, quasigroups;msc=20N05
20N10;20NXX;Ternary systems (heaps, semiheaps, heapoids, etc.);msc=20N10
20N15;20NXX;n-ary systems (n ≥ 3);msc=20N15
20N20;20NXX;Hypergroups;msc=20N20
20N25;20NXX;Fuzzy groups;msc=20N25
20N99;20NXX;None of the above, but in this section;msc=20N99
20P05;20-XX;Probabilistic methods in group theory;msc=20P05
22-XX;06XXX;Topological groups, Lie groups;msc=22?
22-00;22-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=22-00
22-01;22-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=22-01
22-02;22-XX;Research exposition (monographs, survey articles);msc=22-02
22-03;22-XX;Historical;msc=22-03
22-04;22-XX;Explicit machine computation and programs;msc=22-04
22-06;22-XX;Proceedings, conferences, collections, etc.;msc=22-06
22AXX;22-XX;Topological and differentiable algebraic systems;msc=22A?
22A05;22AXX;Structure of general topological groups;msc=22A05
22A10;22AXX;Analysis on general topological groups;msc=22A10
22A15;22AXX;Structure of topological semigroups;msc=22A15
22A20;22AXX;Analysis on topological semigroups;msc=22A20
22A22;22AXX;Topological groupoids (including differentiable and Lie groupoids);msc=22A22
22A25;22AXX;Representations of general topological groups and semigroups;msc=22A25
22A26;22AXX;Topological semilattices, lattices and applications;msc=22A26
22A30;22AXX;Other topological algebraic systems and their representations;msc=22A30
22A99;22AXX;None of the above, but in this section;msc=22A99
22BXX;22-XX;Locally compact abelian groups (LCA groups);msc=22B?
22B05;22BXX;General properties and structure of LCA groups;msc=22B05
22B10;22BXX;Structure of group algebras of LCA groups;msc=22B10
22B99;22BXX;None of the above, but in this section;msc=22B99
22C05;22-XX;Compact groups;msc=22C05
22DXX;22-XX;Locally compact groups and their algebras;msc=22D?
22D05;22DXX;General properties and structure of locally compact groups;msc=22D05
22D10;22DXX;Unitary representations of locally compact groups;msc=22D10
22D12;22DXX;Other representations of locally compact groups;msc=22D12
22D15;22DXX;Group algebras of locally compact groups;msc=22D15
22D20;22DXX;Representations of group algebras;msc=22D20
22D25;22DXX;C*-algebras and W*-algebras in relation to group representations;msc=22D25
22D30;22DXX;Induced representations;msc=22D30
22D35;22DXX;Duality theorems;msc=22D35
22D40;22DXX;Ergodic theory on groups;msc=22D40
22D45;22DXX;Automorphism groups of locally compact groups;msc=22D45
22D99;22DXX;None of the above, but in this section;msc=22D99
22EXX;22-XX;Lie groups;msc=22E?
22E05;22EXX;Local Lie groups;msc=22E05
22E10;22EXX;General properties and structure of complex Lie groups;msc=22E10
22E15;22EXX;General properties and structure of real Lie groups;msc=22E15
22E20;22EXX;General properties and structure of other Lie groups;msc=22E20
22E25;22EXX;Nilpotent and solvable Lie groups;msc=22E25
22E27;22EXX;Representations of nilpotent and solvable Lie groups (special orbital integrals, non-type I representations, etc.);msc=22E27
22E30;22EXX;Analysis on real and complex Lie groups;msc=22E30
22E35;22EXX;Analysis on p-adic Lie groups;msc=22E35
22E40;22EXX;Discrete subgroups of Lie groups;msc=22E40
22E41;22EXX;Continuous cohomology;msc=22E41
22E43;22EXX;Structure and representation of the Lorentz group;msc=22E43
22E45;22EXX;Representations of Lie and linear algebraic groups over real fields: analytic methods;msc=22E45
22E46;22EXX;Semisimple Lie groups and their representations;msc=22E46
22E47;22EXX;Representations of Lie and real algebraic groups: algebraic methods (Verma modules, etc.);msc=22E47
22E50;22EXX;Representations of Lie and linear algebraic groups over local fields;msc=22E50
22E55;22EXX;Representations of Lie and linear algebraic groups over global fields and adèle rings;msc=22E55
22E60;22EXX;Lie algebras of Lie groups;msc=22E60
22E65;22EXX;Infinite-dimensional Lie groups and their Lie algebras;msc=22E65
22E67;22EXX;Loop groups and related constructions, group-theoretic treatment;msc=22E67
22E70;22EXX;"Applications of Lie groups to physics; explicit representations";msc=22E70
22E99;22EXX;None of the above, but in this section;msc=22E99
22FXX;22-XX;Noncompact transformation groups;msc=22F?
22F05;22FXX;General theory of group and pseudogroup actions;msc=22F05
22F10;22FXX;Measurable group actions;msc=22F10
22F30;22FXX;Homogeneous spaces;msc=22F30
22F50;22FXX;Groups as automorphisms of other structures;msc=22F50
;;;
;;;
26XXX;MSC;Analysis;(msc=26? or msc=28? or msc=3? or msc=4?)
26-XX;26XXX;Real functions;msc=26?
26-00;26-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=26-00
26-01;26-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=26-01
26-02;26-XX;Research exposition (monographs, survey articles);msc=26-02
26-03;26-XX;Historical;msc=26-03
26-04;26-XX;Explicit machine computation and programs;msc=26-04
26-06;26-XX;Proceedings, conferences, collections, etc.;msc=26-06
26AXX;26-XX;Functions of one variable;msc=26A?
26A03;26AXX;Foundations: limits and generalizations, elementary topology of the line;msc=26A03
26A06;26AXX;One-variable calculus;msc=26A06
26A09;26AXX;Elementary functions;msc=26A09
26A12;26AXX;Rate of growth of functions, orders of infinity, slowly varying functions;msc=26A12
26A15;26AXX;Continuity and related questions (modulus of continuity, semicontinuity, discontinuities, etc.);msc=26A15
26A16;26AXX;Lipschitz (Hölder) classes;msc=26A16
26A18;26AXX;Iteration;msc=26A18
26A21;26AXX;"Classification of real functions; Baire classification of sets and functions";msc=26A21
26A24;26AXX;Differentiation (functions of one variable): general theory, generalized derivatives, mean-value theorems;msc=26A24
26A27;26AXX;Nondifferentiability (nondifferentiable functions, points of nondifferentiability), discontinuous derivatives;msc=26A27
26A30;26AXX;Singular functions, Cantor functions, functions with other special properties;msc=26A30
26A33;26AXX;Fractional derivatives and integrals;msc=26A33
26A36;26AXX;Antidifferentiation;msc=26A36
26A39;26AXX;Denjoy and Perron integrals, other special integrals;msc=26A39
26A42;26AXX;Integrals of Riemann, Stieltjes and Lebesgue type;msc=26A42
26A45;26AXX;Functions of bounded variation, generalizations;msc=26A45
26A46;26AXX;Absolutely continuous functions;msc=26A46
26A48;26AXX;Monotonic functions, generalizations;msc=26A48
26A51;26AXX;Convexity, generalizations;msc=26A51
26A99;26AXX;None of the above, but in this section;msc=26A99
26BXX;26-XX;Functions of several variables;msc=26B?
26B05;26BXX;Continuity and differentiation questions;msc=26B05
26B10;26BXX;Implicit function theorems, Jacobians, transformations with several variables;msc=26B10
26B12;26BXX;Calculus of vector functions;msc=26B12
26B15;26BXX;Integration: length, area, volume;msc=26B15
26B20;26BXX;Integral formulas (Stokes, Gauss, Green, etc.);msc=26B20
26B25;26BXX;Convexity, generalizations;msc=26B25
26B30;26BXX;Absolutely continuous functions, functions of bounded variation;msc=26B30
26B35;26BXX;Special properties of functions of several variables, Hölder conditions, etc.;msc=26B35
26B40;26BXX;Representation and superposition of functions;msc=26B40
26B99;26BXX;None of the above, but in this section;msc=26B99
26CXX;26-XX;Polynomials, rational functions;msc=26C?
26C05;26CXX;Polynomials: analytic properties, etc.;msc=26C05
26C10;26CXX;Polynomials: location of zeros;msc=26C10
26C15;26CXX;Rational functions;msc=26C15
26C99;26CXX;None of the above, but in this section;msc=26C99
26DXX;26-XX;Inequalities;msc=26D?
26D05;26DXX;Inequalities for trigonometric functions and polynomials;msc=26D05
26D07;26DXX;Inequalities involving other types of functions;msc=26D07
26D10;26DXX;Inequalities involving derivatives and differential and integral operators;msc=26D10
26D15;26DXX;Inequalities for sums, series and integrals;msc=26D15
26D20;26DXX;Other analytical inequalities;msc=26D20
26D99;26DXX;None of the above, but in this section;msc=26D99
26EXX;26-XX;Miscellaneous topics;msc=26E?
26E05;26EXX;Real-analytic functions;msc=26E05
26E10;26EXX;C∞-functions, quasi-analytic functions;msc=26E10
26E15;26EXX;Calculus of functions on infinite-dimensional spaces;msc=26E15
26E20;26EXX;Calculus of functions taking values in infinite-dimensional spaces;msc=26E20
26E25;26EXX;Set-valued functions;msc=26E25
26E30;26EXX;Non-Archimedean analysis;msc=26E30
26E35;26EXX;Nonstandard analysis;msc=26E35
26E40;26EXX;Constructive real analysis;msc=26E40
26E50;26EXX;Fuzzy real analysis;msc=26E50
26E60;26EXX;Means;msc=26E60
26E99;26EXX;None of the above, but in this section;msc=26E99
28-XX;26XXX;Measure and integration;msc=28?
28-00;28-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=28-00
28-01;28-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=28-01
28-02;28-XX;Research exposition (monographs, survey articles);msc=28-02
28-03;28-XX;Historical;msc=28-03
28-04;28-XX;Explicit machine computation and programs;msc=28-04
28-06;28-XX;Proceedings, conferences, collections, etc.;msc=28-06
28AXX;28-XX;Classical measure theory;msc=28A?
28A05;28AXX;Classes of sets (Borel fields, σ-rings, etc.), measurable sets, Suslin sets, analytic sets;msc=28A05
28A10;28AXX;Real- or complex-valued set functions;msc=28A10
28A12;28AXX;Contents, measures, outer measures, capacities;msc=28A12
28A15;28AXX;Abstract differentiation theory, differentiation of set functions;msc=28A15
28A20;28AXX;Measurable and nonmeasurable functions, sequences of measurable functions, modes of convergence;msc=28A20
28A25;28AXX;Integration with respect to measures and other set functions;msc=28A25
28A33;28AXX;Spaces of measures, convergence of measures;msc=28A33
28A35;28AXX;Measures and integrals in product spaces;msc=28A35
28A50;28AXX;Integration and disintegration of measures;msc=28A50
28A51;28AXX;Lifting theory;msc=28A51
28A60;28AXX;Measures on Boolean rings, measure algebras;msc=28A60
28A75;28AXX;Length, area, volume, other geometric measure theory;msc=28A75
28A78;28AXX;Hausdorff and packing measures;msc=28A78
28A80;28AXX;Fractals;msc=28A80
28A99;28AXX;None of the above, but in this section;msc=28A99
28BXX;28-XX;Set functions, measures and integrals with values in abstract spaces;msc=28B?
28B05;28BXX;Vector-valued set functions, measures and integrals;msc=28B05
28B10;28BXX;Group- or semigroup-valued set functions, measures and integrals;msc=28B10
28B15;28BXX;Set functions, measures and integrals with values in ordered spaces;msc=28B15
28B20;28BXX;"Set-valued set functions and measures; integration of set-valued functions; measurable selections";msc=28B20
28B99;28BXX;None of the above, but in this section;msc=28B99
28CXX;28-XX;Set functions and measures on spaces with additional structure;msc=28C?
28C05;28CXX;Integration theory via linear functionals (Radon measures, Daniell integrals, etc.), representing set functions and measures;msc=28C05
28C10;28CXX;Set functions and measures on topological groups, Haar measures, invariant measures;msc=28C10
28C15;28CXX;Set functions and measures on topological spaces (regularity of measures, etc.);msc=28C15
28C20;28CXX;Set functions and measures and integrals in infinite-dimensional spaces (Wiener measure, Gaussian measure, etc.);msc=28C20
28C99;28CXX;None of the above, but in this section;msc=28C99
28DXX;28-XX;Measure-theoretic ergodic theory;msc=28D?
28D05;28DXX;Measure-preserving transformations;msc=28D05
28D10;28DXX;One-parameter continuous families of measure-preserving transformations;msc=28D10
28D15;28DXX;General groups of measure-preserving transformations;msc=28D15
28D20;28DXX;Entropy and other invariants;msc=28D20
28D99;28DXX;None of the above, but in this section;msc=28D99
28EXX;28-XX;Miscellaneous topics in measure theory;msc=28E?
28E05;28EXX;Nonstandard measure theory;msc=28E05
28E10;28EXX;Fuzzy measure theory;msc=28E10
28E15;28EXX;Other connections with logic and set theory;msc=28E15
28E99;28EXX;None of the above, but in this section;msc=28E99
30-XX;26XXX;Functions of a complex variable;msc=30?
30-00;30-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=30-00
30-01;30-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=30-01
30-02;30-XX;Research exposition (monographs, survey articles);msc=30-02
30-03;30-XX;Historical;msc=30-03
30-04;30-XX;Explicit machine computation and programs;msc=30-04
30-06;30-XX;Proceedings, conferences, collections, etc.;msc=30-06
30AXX;30-XX;General properties;msc=30A?
30A05;30AXX;Monogenic properties of complex functions (including polygenic and areolar monogenic functions);msc=30A05
30A10;30AXX;Inequalities in the complex domain;msc=30A10
30A99;30AXX;None of the above, but in this section;msc=30A99
30BXX;30-XX;Series expansions;msc=30B?
30B10;30BXX;Power series (including lacunary series);msc=30B10
30B20;30BXX;Random power series;msc=30B20
30B30;30BXX;Boundary behavior of power series, over-convergence;msc=30B30
30B40;30BXX;Analytic continuation;msc=30B40
30B50;30BXX;Dirichlet series and other series expansions, exponential series;msc=30B50
30B60;30BXX;Completeness problems, closure of a system of functions;msc=30B60
30B70;30BXX;Continued fractions;msc=30B70
30B99;30BXX;None of the above, but in this section;msc=30B99
30CXX;30-XX;Geometric function theory;msc=30C?
30C10;30CXX;Polynomials;msc=30C10
30C15;30CXX;Zeros of polynomials, rational functions, and other analytic functions (e.g. zeros of functions with bounded Dirichlet integral);msc=30C15
